Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Anoplarchus,purpurescens,37.25,138.25,1313:478:1,0.05
Anoplarchus,purpurescens,37.75,137.25,1313:477:3,0.01
Anoplarchus,purpurescens,37.25,137.75,1313:477:2,0.03
Anoplarchus,purpurescens,37.25,137.25,1313:477:1,0.02
Anoplarchus,purpurescens,37.75,136.75,1313:476:4,0.01
Anoplarchus,purpurescens,37.25,130.75,1313:370:2,0.01
Anoplarchus,purpurescens,38.25,128.25,1312:488:1,0.16
Anoplarchus,purpurescens,37.25,129.25,1312:479:1,0.15
Anoplarchus,purpurescens,36.75,129.75,1312:469:4,0.04
Anoplarchus,purpurescens,36.75,129.25,1312:469:3,0.12
Anoplarchus,purpurescens,36.25,129.25,1312:469:1,0.04
Anoplarchus,purpurescens,36.75,125.75,1312:465:4,0.07
Anoplarchus,purpurescens,35.25,128.25,1312:458:1,0.02
Anoplarchus,purpurescens,35.75,125.75,1312:455:4,0.02
Anoplarchus,purpurescens,35.25,125.75,1312:455:2,0.08
Anoplarchus,purpurescens,39.25,124.75,1312:394:2,0.02
Anoplarchus,purpurescens,39.75,122.75,1312:392:4,0.08
Anoplarchus,purpurescens,38.75,124.75,1312:384:4,0.16
Anoplarchus,purpurescens,38.25,124.75,1312:384:2,0.18
Anoplarchus,purpurescens,35.75,120.25,1312:350:3,0.02
Anoplarchus,purpurescens,34.75,128.25,1312:248:3,0.01
Anoplarchus,purpurescens,34.75,127.75,1312:247:4,0.05
Anoplarchus,purpurescens,34.75,127.25,1312:247:3,0.06
Anoplarchus,purpurescens,34.25,127.25,1312:247:1,0.04
Anoplarchus,purpurescens,34.25,126.75,1312:246:2,0.07
Anoplarchus,purpurescens,34.25,126.25,1312:246:1,0.03
Anoplarchus,purpurescens,34.75,125.75,1312:245:4,0.01
Anoplarchus,purpurescens,34.25,125.75,1312:245:2,0.01
Anoplarchus,purpurescens,33.75,125.25,1312:235:3,0.01
Anoplarchus,purpurescens,34.25,122.25,1312:142:1,0.06
Anoplarchus,purpurescens,33.75,122.75,1312:132:4,0.01
Anoplarchus,purpurescens,33.75,122.25,1312:132:3,0.06
Anoplarchus,purpurescens,33.25,122.75,1312:132:2,0.01
Anoplarchus,purpurescens,33.25,122.25,1312:132:1,0.06
Anoplarchus,purpurescens,33.75,121.25,1312:131:3,0.01
Anoplarchus,purpurescens,33.25,121.75,1312:131:2,0.03
Anoplarchus,purpurescens,33.25,121.25,1312:131:1,0.1
Anoplarchus,purpurescens,33.75,120.75,1312:130:4,0.19
Anoplarchus,purpurescens,32.75,122.75,1312:122:4,0.01
Anoplarchus,purpurescens,32.75,122.25,1312:122:3,0.05
Anoplarchus,purpurescens,32.25,122.75,1312:122:2,0.03
Anoplarchus,purpurescens,32.25,122.25,1312:122:1,0.1
