Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Melanostigma,pammelas,53.25,-133.75,7513:133:2,0.84
Melanostigma,pammelas,53.25,-133.25,7513:133:1,1
Melanostigma,pammelas,52.75,-133.75,7513:123:4,1
Melanostigma,pammelas,52.75,-133.25,7513:123:3,0.83
Melanostigma,pammelas,52.25,-133.75,7513:123:2,0.99
Melanostigma,pammelas,52.25,-133.25,7513:123:1,1
Melanostigma,pammelas,52.75,-132.75,7513:122:4,1
Melanostigma,pammelas,52.25,-132.75,7513:122:2,1
Melanostigma,pammelas,52.25,-132.25,7513:122:1,0.86
Melanostigma,pammelas,52.25,-131.75,7513:121:2,1
Melanostigma,pammelas,51.75,-133.75,7513:113:4,1
Melanostigma,pammelas,51.75,-133.25,7513:113:3,0.94
Melanostigma,pammelas,51.75,-132.75,7513:112:4,0.98
Melanostigma,pammelas,51.75,-132.25,7513:112:3,1
Melanostigma,pammelas,51.25,-132.75,7513:112:2,0.86
Melanostigma,pammelas,51.25,-132.25,7513:112:1,0.97
Melanostigma,pammelas,51.75,-131.75,7513:111:4,1
Melanostigma,pammelas,51.75,-131.25,7513:111:3,1
Melanostigma,pammelas,51.25,-131.75,7513:111:2,1
Melanostigma,pammelas,51.25,-131.25,7513:111:1,1
Melanostigma,pammelas,51.75,-130.75,7513:110:4,1
Melanostigma,pammelas,51.75,-130.25,7513:110:3,1
Melanostigma,pammelas,51.25,-130.75,7513:110:2,1
Melanostigma,pammelas,51.25,-130.25,7513:110:1,1
Melanostigma,pammelas,50.75,-132.25,7513:102:3,0.98
Melanostigma,pammelas,50.75,-131.75,7513:101:4,1
Melanostigma,pammelas,50.75,-131.25,7513:101:3,1
Melanostigma,pammelas,50.25,-131.75,7513:101:2,0.87
Melanostigma,pammelas,50.25,-131.25,7513:101:1,0.91
Melanostigma,pammelas,50.75,-130.75,7513:100:4,1
Melanostigma,pammelas,50.75,-130.25,7513:100:3,1
Melanostigma,pammelas,50.25,-130.75,7513:100:2,1
Melanostigma,pammelas,50.25,-130.25,7513:100:1,1
Melanostigma,pammelas,52.75,-129.75,7512:229:4,0.96
Melanostigma,pammelas,51.25,-129.75,7512:219:2,1
Melanostigma,pammelas,51.25,-129.25,7512:219:1,1
Melanostigma,pammelas,50.75,-129.75,7512:209:4,1
Melanostigma,pammelas,50.75,-129.25,7512:209:3,0.97
Melanostigma,pammelas,50.25,-129.75,7512:209:2,1
Melanostigma,pammelas,50.25,-129.25,7512:209:1,1
Melanostigma,pammelas,50.25,-128.75,7512:208:2,1
Melanostigma,pammelas,50.25,-128.25,7512:208:1,1
Melanostigma,pammelas,49.75,-131.25,7413:391:3,0.83
Melanostigma,pammelas,49.25,-131.25,7413:391:1,0.99
Melanostigma,pammelas,49.75,-130.75,7413:390:4,1
Melanostigma,pammelas,49.75,-130.25,7413:390:3,1
Melanostigma,pammelas,49.25,-130.75,7413:390:2,1
Melanostigma,pammelas,49.25,-130.25,7413:390:1,1
Melanostigma,pammelas,48.75,-131.75,7413:381:4,0.87
Melanostigma,pammelas,48.75,-131.25,7413:381:3,0.87
Melanostigma,pammelas,48.75,-130.25,7413:380:3,1
Melanostigma,pammelas,48.25,-130.25,7413:380:1,1
Melanostigma,pammelas,49.75,-129.75,7412:499:4,1
Melanostigma,pammelas,49.75,-129.25,7412:499:3,1
Melanostigma,pammelas,49.25,-129.75,7412:499:2,1
Melanostigma,pammelas,49.25,-129.25,7412:499:1,1
Melanostigma,pammelas,49.75,-128.75,7412:498:4,1
Melanostigma,pammelas,49.75,-128.25,7412:498:3,1
Melanostigma,pammelas,49.25,-128.75,7412:498:2,1
Melanostigma,pammelas,49.25,-128.25,7412:498:1,1
Melanostigma,pammelas,49.75,-127.75,7412:497:4,1
Melanostigma,pammelas,49.25,-127.75,7412:497:2,1
Melanostigma,pammelas,49.25,-127.25,7412:497:1,1
Melanostigma,pammelas,49.25,-126.75,7412:496:2,1
