Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Gasterosteus,aculeatus,62.25,-175.25,7617:225:1,0.13
Gasterosteus,aculeatus,61.75,-176.25,7617:216:3,0.01
Gasterosteus,aculeatus,61.75,-175.75,7617:215:4,0.06
Gasterosteus,aculeatus,61.75,-175.25,7617:215:3,0.1
Gasterosteus,aculeatus,61.25,-175.75,7617:215:2,0.18
Gasterosteus,aculeatus,60.75,-177.25,7617:207:3,0.15
Gasterosteus,aculeatus,60.75,-176.75,7617:206:4,0.08
Gasterosteus,aculeatus,60.75,-176.25,7617:206:3,0.18
Gasterosteus,aculeatus,60.75,-175.25,7617:205:3,0.14
Gasterosteus,aculeatus,64.75,-172.75,7617:142:4,0.18
Gasterosteus,aculeatus,64.75,-172.25,7617:142:3,0.18
Gasterosteus,aculeatus,64.75,-171.75,7617:141:4,0.17
Gasterosteus,aculeatus,64.75,-171.25,7617:141:3,0.17
Gasterosteus,aculeatus,64.75,-170.75,7617:140:4,0.16
Gasterosteus,aculeatus,64.75,-170.25,7617:140:3,0.16
Gasterosteus,aculeatus,63.75,-174.75,7617:134:4,0.13
Gasterosteus,aculeatus,63.75,-174.25,7617:134:3,0.16
Gasterosteus,aculeatus,63.25,-174.75,7617:134:2,0.11
Gasterosteus,aculeatus,63.25,-174.25,7617:134:1,0.14
Gasterosteus,aculeatus,62.75,-174.75,7617:124:4,0.16
Gasterosteus,aculeatus,61.25,-174.75,7617:114:2,0.17
Gasterosteus,aculeatus,61.75,-170.25,7617:110:3,0.19
Gasterosteus,aculeatus,69.75,-169.75,7616:499:4,0.04
Gasterosteus,aculeatus,69.75,-169.25,7616:499:3,0.04
Gasterosteus,aculeatus,69.25,-169.75,7616:499:2,0.06
Gasterosteus,aculeatus,69.25,-169.25,7616:499:1,0.06
Gasterosteus,aculeatus,69.75,-168.75,7616:498:4,0.05
Gasterosteus,aculeatus,69.75,-168.25,7616:498:3,0.05
Gasterosteus,aculeatus,69.25,-168.75,7616:498:2,0.07
Gasterosteus,aculeatus,69.25,-168.25,7616:498:1,0.08
Gasterosteus,aculeatus,69.75,-167.75,7616:497:4,0.06
Gasterosteus,aculeatus,69.75,-167.25,7616:497:3,0.06
Gasterosteus,aculeatus,69.25,-167.75,7616:497:2,0.08
Gasterosteus,aculeatus,69.25,-167.25,7616:497:1,0.08
Gasterosteus,aculeatus,69.75,-166.75,7616:496:4,0.07
Gasterosteus,aculeatus,69.75,-166.25,7616:496:3,0.07
Gasterosteus,aculeatus,69.25,-166.75,7616:496:2,0.09
Gasterosteus,aculeatus,69.25,-166.25,7616:496:1,0.09
